Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-EC23","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/AuroraMySqlComputeSecurityGroup","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/AuroraMySqlComputeSecurityGroup","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-SMG4","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/DBCredentialsSecret","Non-Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-KMS5","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/DBStorageEncryptionKMSKey","Compliant","N/A","Error","The KMS Symmetric key does not have automatic key rotation enabled."
"AwsSolutions-RDS2","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/DBCluster","Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have storage encryption enabled."
"AwsSolutions-RDS6","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/DBCluster","Compliant","N/A","Error","The RDS Aurora MySQL/PostgresSQL cluster does not have IAM Database Authentication enabled."
"AwsSolutions-RDS10","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/DBCluster","Non-Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have deletion protection enabled."
"AwsSolutions-RDS11","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/DBCluster","Non-Compliant","N/A","Error","The RDS instance or Aurora DB cluster uses the default endpoint port."
"AwsSolutions-RDS14","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/DBCluster","Non-Compliant","N/A","Error","The RDS Aurora MySQL cluster does not have Backtrack enabled."
"AwsSolutions-RDS16","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/DBCluster","Compliant","N/A","Error","The RDS Aurora MySQL serverless cluster does not have audit, error, general, and slowquery Log Exports enabled."
"AwsSolutions-IAM4","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/DBIamRoleForMonitoring","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/DBIamRoleForMonitoring","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-SMG4","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/AuroraStorageEncryptionKeyArnSecret","Non-Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-RDS2","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/DBInstance1","Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have storage encryption enabled."
"AwsSolutions-RDS3","CdkNagScanStack/--run--scan--src--deployment--database--aurora--aurora-global-primary-cluster.yml/DBInstance1","Compliant","N/A","Error","The non-Aurora RDS DB instance does not have multi-AZ support enabled."
