Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-RDS2","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--create-reconciliation-orders-db.yaml/DBCluster","Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have storage encryption enabled."
"AwsSolutions-RDS6","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--create-reconciliation-orders-db.yaml/DBCluster","Compliant","N/A","Error","The RDS Aurora MySQL/PostgresSQL cluster does not have IAM Database Authentication enabled."
"AwsSolutions-RDS10","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--create-reconciliation-orders-db.yaml/DBCluster","Non-Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have deletion protection enabled."
"AwsSolutions-RDS11","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--create-reconciliation-orders-db.yaml/DBCluster","Non-Compliant","N/A","Error","The RDS instance or Aurora DB cluster uses the default endpoint port."
"AwsSolutions-RDS14","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--create-reconciliation-orders-db.yaml/DBCluster","Non-Compliant","N/A","Error","The RDS Aurora MySQL cluster does not have Backtrack enabled."
"AwsSolutions-RDS16","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--create-reconciliation-orders-db.yaml/DBCluster","Compliant","N/A","Error","The RDS Aurora MySQL serverless cluster does not have audit, error, general, and slowquery Log Exports enabled."
"AwsSolutions-RDS2","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--create-reconciliation-orders-db.yaml/DBInstance1","Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have storage encryption enabled."
"AwsSolutions-RDS3","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--create-reconciliation-orders-db.yaml/DBInstance1","Compliant","N/A","Error","The non-Aurora RDS DB instance does not have multi-AZ support enabled."
"AwsSolutions-RDS10","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--create-reconciliation-orders-db.yaml/DBInstance1","Compliant","N/A","Error","The RDS instance or Aurora DB cluster does not have deletion protection enabled."
"AwsSolutions-RDS11","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--create-reconciliation-orders-db.yaml/DBInstance1","Compliant","N/A","Error","The RDS instance or Aurora DB cluster uses the default endpoint port."
"AwsSolutions-RDS13","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--create-reconciliation-orders-db.yaml/DBInstance1","Compliant","N/A","Error","The RDS instance is not configured for automated backups."
"AwsSolutions-SMG4","CdkNagScanStack/--run--scan--src--deployment--database--crdr-reconciliation--src--create-reconciliation-orders-db.yaml/DBClusterArn","Non-Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
