Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-EC23","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/sgAlb","Non-Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/sgAlb","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/sgTask","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/sgTask","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/sgMq","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/sgMq","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-SMG4","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/MqPassword","Non-Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-EC23","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/sgRedis","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/sgRedis","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-AEC1","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CheckoutEcCluster","Compliant","N/A","Error","The ElastiCache cluster is not provisioned in a VPC."
"AwsSolutions-AEC5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CheckoutEcCluster","Non-Compliant","N/A","Error","The ElastiCache cluster uses the default endpoint port."
"AwsSolutions-EC23","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/sgTaskIngress","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC23","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/sgOrdersDB","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/sgOrdersDB","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CatalogAuroraMySqlComputeSecurityGroupInboundRule","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC23","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/OrdersAuroraMySqlComputeSecurityGroupInboundRule","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-SMG4","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/MqSecret","Non-Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-KMS5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/LogGroupKey","Compliant","N/A","Error","The KMS Symmetric key does not have automatic key rotation enabled."
"AwsSolutions-ELB2","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/Alb","Non-Compliant","N/A","Error","The ELB does not have access logs enabled."
"AwsSolutions-ECS4","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/EcsCluster","Compliant","N/A","Error","The ECS Cluster has CloudWatch Container Insights disabled."
"AwsSolutions-IAM4","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CartsTaskExecutionRole","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CartsTaskExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CartsTaskExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CartsTaskExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CartsTaskExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-ECS2","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CartsTaskDefinition","Non-Compliant","N/A","Error","The ECS Task Definition includes a container definition that directly specifies environment variables."
"AwsSolutions-ECS7","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CartsTaskDefinition","Compliant","N/A","Error","One or more containers in the ECS Task Definition do not have container logging enabled."
"AwsSolutions-IAM4","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/OrdersTaskExecutionRole","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/OrdersTaskExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/OrdersTaskExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/OrdersTaskExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/OrdersTaskExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-ECS2","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/OrdersTaskDefinition","Non-Compliant","N/A","Error","The ECS Task Definition includes a container definition that directly specifies environment variables."
"AwsSolutions-ECS7","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/OrdersTaskDefinition","Compliant","N/A","Error","One or more containers in the ECS Task Definition do not have container logging enabled."
"AwsSolutions-IAM4","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/AssetsTaskExecutionRole","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/AssetsTaskExecutionRole","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-ECS2","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/AssetsTaskDefinition","Compliant","N/A","Error","The ECS Task Definition includes a container definition that directly specifies environment variables."
"AwsSolutions-ECS7","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/AssetsTaskDefinition","Compliant","N/A","Error","One or more containers in the ECS Task Definition do not have container logging enabled."
"AwsSolutions-IAM4","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CatalogTaskExecutionRole","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CatalogTaskExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CatalogTaskExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CatalogTaskExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CatalogTaskExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-ECS2","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CatalogTaskDefinition","Non-Compliant","N/A","Error","The ECS Task Definition includes a container definition that directly specifies environment variables."
"AwsSolutions-ECS7","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CatalogTaskDefinition","Compliant","N/A","Error","One or more containers in the ECS Task Definition do not have container logging enabled."
"AwsSolutions-IAM4","CdkNagScanStack/--run--scan--src--deployment--ecs.yaml/CheckoutTaskExecutionRole","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
