Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-SMG4","CdkNagScanStack/--run--scan--src--deployment--globalRouting.yaml/ArcRoutingControlPrimarySecret","Non-Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-SMG4","CdkNagScanStack/--run--scan--src--deployment--globalRouting.yaml/ArcRoutingControlStandbySecret","Non-Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-SMG4","CdkNagScanStack/--run--scan--src--deployment--globalRouting.yaml/ArcClusterSecret","Non-Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
"AwsSolutions-IAM4","CdkNagScanStack/--run--scan--src--deployment--globalRouting.yaml/LambdaExecutionRole","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--globalRouting.yaml/LambdaExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--globalRouting.yaml/LambdaExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--globalRouting.yaml/LambdaExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--globalRouting.yaml/LambdaExecutionRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","CdkNagScanStack/--run--scan--src--deployment--globalRouting.yaml/EnableRoutingControlLambda","Non-Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","CdkNagScanStack/--run--scan--src--deployment--globalRouting.yaml/AutomationServiceRole","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--globalRouting.yaml/AutomationServiceRole","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-SMG4","CdkNagScanStack/--run--scan--src--deployment--globalRouting.yaml/DNSRecordSecret","Non-Compliant","N/A","Error","The secret does not have automatic rotation scheduled."
