Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","CdkNagScanStack/--run--scan--src--deployment--regionalBaseInfra.yaml/FlowLogRole","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","CdkNagScanStack/--run--scan--src--deployment--regionalBaseInfra.yaml/FlowLogRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-ECR1","CdkNagScanStack/--run--scan--src--deployment--regionalBaseInfra.yaml/CheckoutRepo","Compliant","N/A","Error","The ECR Repository allows open access."
"AwsSolutions-ECR1","CdkNagScanStack/--run--scan--src--deployment--regionalBaseInfra.yaml/CatalogRepo","Compliant","N/A","Error","The ECR Repository allows open access."
"AwsSolutions-ECR1","CdkNagScanStack/--run--scan--src--deployment--regionalBaseInfra.yaml/CartsRepo","Compliant","N/A","Error","The ECR Repository allows open access."
"AwsSolutions-ECR1","CdkNagScanStack/--run--scan--src--deployment--regionalBaseInfra.yaml/AssetsRepo","Compliant","N/A","Error","The ECR Repository allows open access."
"AwsSolutions-ECR1","CdkNagScanStack/--run--scan--src--deployment--regionalBaseInfra.yaml/OrdersRepo","Compliant","N/A","Error","The ECR Repository allows open access."
"AwsSolutions-ECR1","CdkNagScanStack/--run--scan--src--deployment--regionalBaseInfra.yaml/UIRepo","Compliant","N/A","Error","The ECR Repository allows open access."
"AwsSolutions-EC23","CdkNagScanStack/--run--scan--src--deployment--regionalBaseInfra.yaml/canarySg","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","CdkNagScanStack/--run--scan--src--deployment--regionalBaseInfra.yaml/canarySg","Compliant","N/A","Error","The Security Group does not have a description."
